relevance_score,source_count,ieee_authors,title,venue,year,citations,doi,url,abstract,keywords,tldr,recency_boosted
120,1,عدنان عبد الامير مهدي,عمالة الاطفال في العراق بعد العام 2003  ..  الواقع والحلول,قضايا سياسية,2023,0,10.58298/2023331,https://doi.org/10.58298/2023331,,,,True
120,1,ا. قديم,"النزاع حول الحدود ومصادر المياه في العراق القديم:, لجيش وأوما نموذجا",مجلة العلوم القانونية والاجتماعية,2023,0,10.53419/2259-008-003-039,https://doi.org/10.53419/2259-008-003-039,,,,True
120,1,ع. كريم حميد and ز. عباس هادي,التغيرات المناخية وأثرها في مستقبل أزمة المياه في العراق,استشراف للدراسات المستقبلية,2023,0,10.31430/sgpr8903,https://doi.org/10.31430/sgpr8903,,,,True
120,1,ز. منكاش,"دبلوماسية المياه في العلاقات العراقية الإيرانية:, دراسة في المشكلات والحلول",مجلة كلية القانون للعلوم القانونية والسياسية,2024,0,10.32894/1898-013-051-008,https://doi.org/10.32894/1898-013-051-008,,,,True
100,1,N. Abu alia et al.,قراءة في مكونات قطاع العدالة: فلسطين في ضوء تجارب مقارنة (Readings in the Components of the Justice Sector: Palestine in Light of Comparative Studies),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3484134,https://doi.org/10.2139/ssrn.3484134,,,,
100,1,M. Al-Suhaibani and A. Alomrani,قواعد التداول الإلكتروني في الأسواق المالية ونظرات في مستندها الفقهي (Electronic Trading Rules in Financial Markets: An Islamic Prospective),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.2275965,https://doi.org/10.2139/ssrn.2275965,,,,
100,1,M. Al-Suhaibani and A. Gherbi,"مؤشِّرات التّعليم والتّدريب والبحث والتّطوير في المالية الإسلامية: دراسة مسحيّة للوضع الراهن في المملكة العربية السعودية  &lt;br&gt;Indicators of education, training, research and development in Islamic finance: a survey of the current situation in Saudi Arabia",SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3829031,https://doi.org/10.2139/ssrn.3829031,,,,
100,1,O. Almania and A. Mubarak,العجز في صناديق التقاعد السعودية: الأسباب والحلول (Deficits in the Saudi Pension Funds: Causes and Solutions),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3328122,https://doi.org/10.2139/ssrn.3328122,,,,
100,1,H. Almusaddar and A. Nasrallah,دور التحول الرقمي في تحسين الخدمات الحكومية في فلسطين (The Role of Digital Transformation in Improving Government Services in Palestine),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3688246,https://doi.org/10.2139/ssrn.3688246,,,,
100,1,S. Alnasir,الحق في عدم الإزعاج الصحافـــة والحياة الشخصيـــــة. قراءة في كتاب (The Right of Botherless: Journalism and Private Life. Book Recession),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3525110,https://doi.org/10.2139/ssrn.3525110,,,,
100,1,N. Bdair and A. Khalil,"الإشارة إلى الإسلام والشريعة في الوثائق الدستورية وأثر ذلك على الحرية الدينية ""دراسة مقارنة."" في: الكتاب السنوي للمنظمة العربية للقانون الدستوري . (Reference to Islam and Sharia in Constitutional Documents and its Impact on Religious Freedom (Comparative Study))",SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3475128,https://doi.org/10.2139/ssrn.3475128,,,,
100,1,B. Bitar,القضاء الكنسي في فلسطين (Ecclesiastic Courts in Palestine),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3500979,https://doi.org/10.2139/ssrn.3500979,,,,
100,1,H. Harrathi,"في تعدّد الأصوات وتعرية الأنساق: الحياة اليومية في رواية ""سيدات القمر"" لجوخة الحارثي نموذجا (In the Multiplicity of Voices and the Unravelling of Systems: The Daily Life in Jokha AlHarthi’s ‘Sayedaat Al Qamar’ (Celestial Bodies) as an Example)",SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3531525,https://doi.org/10.2139/ssrn.3531525,,,,
100,1,M. Humran,تاثير &amp;nbsp;التكامل في اطار الجيواستراتيجية البحرية لليمن&amp;nbsp; مع دول الجوار العربي &amp;nbsp;في المياه الاقتصادية الخالصة للبحر الأحمر والمحيط الهندي (The Impact of the Integrated Yémen and -Arab Maritime Géostratégie in Red Sea and Indiana Océan EEZ),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.4916061,https://doi.org/10.2139/ssrn.4916061,,,,
100,1,S. Malahim,أثر سعر المرابحة على الأداء المالي في المصارف الإسلاميّة العاملة في الأردن (2000-2013) (The Impact of Murabaha Rate on the Financial Performance of Jordanian Islamic Banks' (2000-2013)),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3298137,https://doi.org/10.2139/ssrn.3298137,,,,
100,1,K. Mouloudj,دور الدبلوماسية التجارية في الترويج للصادرات الصناعية في حقبة ما بعد كوفيد 19 (The Role of Commercial Diplomacy in Industrial Exports Promotion in the Post COVID-19 Era),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3972282,https://doi.org/10.2139/ssrn.3972282,,,,
100,1,M. Seloom,تصاعد التوتر بين الولايات المتحدة الأميركية وإيران وآثاره على العراق (The Implications of the US-Iran Tensions for Iraq),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3386173,https://doi.org/10.2139/ssrn.3386173,,,,
100,1,H. Shaaban,معاملة القانون الأجنبي أمام القاضي البحريني- دراسة مقارنة في ضوء التوجهات الفقهية والقضائيية المعاصرة في القانون الدولي الخاص (The Treatment of Foreign Law before Bahrain Judge- Comparative Study in Light of the New Trends of Scholars and Judicial Decisions),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3419537,https://doi.org/10.2139/ssrn.3419537,,,,
100,1,M. Shaat and A. Al Faleet,دور التجارة الالكترونية في تفعيل العمل الحر عبر الانترنت من وجه نظر الأكاديميين العاملين في قطاع غزة (The Role of E-Commerce in Activating Online Freelancing from The Viewpoint of Academics Working in Gaza Strip),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3688046,https://doi.org/10.2139/ssrn.3688046,,,,
100,1,A. Siddiek,"المناهج الدراسية لعلوم وتكنولوجيا الأغذية في أفريقيا (*) لمواجهة التحديات الجديدة في القارة (Food Science and Technology Curricula in Africa: Meeting Africa’s New Challenges: By Amanda Minnaar, John R.N. Taylor, Steven Haggblade, John David Kabasa, Nelson K. O. Ojijo)",SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3174536,https://doi.org/10.2139/ssrn.3174536,,,,
100,1,N. Taha and A. Khalil,Rethinking Executive Supremacy during Times of Crisis in Egypt إعادة التفكير في سمو السلطة التنفيذية أثناء الأزمات في مصر [بالإنجليزية],SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3322718,https://doi.org/10.2139/ssrn.3322718,,,,
100,1,N. Taha,"بناء الأماكن، هدم الحقوق: ملامح الحق في السكن في السياق الفلسطيني (Constructing Places, De-constructing Rights: Understanding the Right to Housing in the Palestinian Context)",SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3295159,https://doi.org/10.2139/ssrn.3295159,,,,
100,1,A. Tashkandi,محددات التمويل بالمشاركات في المصارف الإسلامية بدول مجلس التعاون الخليجي في الفترة 2005-2016: نموذج بيانات السلاسل الزمنية المقطعية الديناميكي (Determinants of Partnership Financing in GCC Islamic Banks during 20052016-: An Empirical Study Using Dynamic Panel Data Model),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3841561,https://doi.org/10.2139/ssrn.3841561,,,,
100,1,T. Thabit,إستخدام أدوات الإقتصاد الإسلامي في دعم المشاريع الصناعية الصغيرة في محافظة نينوى (Using Islamic Economics Tools to Support Small Industrial Projects in Nineveh Governorate),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3619515,https://doi.org/10.2139/ssrn.3619515,,,,
100,1,M. Turner,Elements of Blending – (In Arabic) مدخل في نظريّة المزج,SSRN Electronic Journal,n.d.,0,10.2139/ssrn.1729948,https://doi.org/10.2139/ssrn.1729948,,,,
100,1,L. Zanned,في الاسترسال الصّوتيّ-الدّلاليّ: حروف الجمع في العربيّة نموذجا (Phonological-semantic Continuum: The Case of Conjunction Particle(s) in Arabic),SSRN Electronic Journal,n.d.,0,10.2139/ssrn.3620776,https://doi.org/10.2139/ssrn.3620776,,,,
100,1,Unknown et al.,تقدير بعض الخصائص الكيميائية والفيزيائية باستخدام وحدة معالجة المياه الدوامات القسرية بالمقارنة مع تركيزها في المياه التي تنتجها مشاريع المياه الصالحة للشرب التقليدية في بغداد,Iraqi journal of market research and consumer protection,2018,0,10.28936/jmracpc10.1.2018.(10),https://doi.org/10.28936/jmracpc10.1.2018.(10),,,,
100,1,Unknown Author,تقدير تراكيز بعض العناصر النزرة في المياه والنبات المائي الشمبلان (Ceratophyllum demersum) في نهر الفرات عند قضاء سوق الشيوخ – جنوب العراق,University of Thi-Qar Journal of Science,2019,0,10.32792/utq/utjsci/vol6/2/26,https://doi.org/10.32792/utq/utjsci/vol6/2/26,,,,
100,1,Unknown Author,استخدام تقنيات التحسس النائي في دراسة نوعية المياه لأهوار العراق,Engineering and Technology Journal,2008,0,10.30684/etj.26.9.11,https://doi.org/10.30684/etj.26.9.11,,,,
100,1,Unknown Author,الإدارة الالكترونية للمرافق العامة واثرها في مواجهة الفساد المالي والاداري في العراق (دراسة قانونية في التحديات والحلول في ضوء تجارب بعض البلدان),"Journal of Arts, Literature, Humanities and Social Sciences",2019,0,10.33193/jalhss.37.21,https://doi.org/10.33193/jalhss.37.21,,,,
100,1,إ. الشمري,اثر التغيرات المناخية في تفاقم مشكلة شحة المياه في العراق,مجلة ميسان للدراسات الأكاديمية,2012,0,10.54633/2333-011-021-005,https://doi.org/10.54633/2333-011-021-005,,,,
100,1,ح. الياسري,زراعة النخيل في العراق وإيران : المشاكل والحلول,حولية المنتدى للدراسات الإنسانية,2018,0,10.35519/0828-000-036-028,https://doi.org/10.35519/0828-000-036-028,,,,
100,1,ع. جاسم,البطالة في العراق : الواقع والحلول,مجلة المنصور,2008,0,10.36541/0231-000-011-005,https://doi.org/10.36541/0231-000-011-005,,,,
100,1,ن. جودت et al.,حصاد المياه وأثره في تنمية الموارد المائية في العراق,آداب الكوفة,2016,0,10.36317/0826-009-029-005,https://doi.org/10.36317/0826-009-029-005,,,,
100,1,م. حسين et al.,أزمة المياه وعلاقتها بتحقيق التنمية الزراعية المستدامة في العراق (الأسباب الحقيقية والحلول المقترحة),Journal of Economics and Administrative Sciences,2019,0,10.33095/jeas.v25i114.1738,https://doi.org/10.33095/jeas.v25i114.1738,,,,
100,1,و. زيدان and ح. أحمد,"التجربة الفيدرالية في العراق بعد عام 2003:, قراءة في المعوقات والحلول",مجلة آداب الفراهيدي,2017,0,10.51990/2228-009-031-037,https://doi.org/10.51990/2228-009-031-037,,,,
100,1,ن. عاتي and ن. حسان,"ظاهرة تعاطي المخدرات في العراق:, دراسة في الأسباب والأنواع، والحلول من وجهة نظر المتعاطين",مجلة العلوم القانونية والاجتماعية,2018,0,10.53419/2259-000-012-002,https://doi.org/10.53419/2259-000-012-002,,,,
100,1,ح. عبدالله,المياه في العراق بين العامل المناخي و الموقع الجغرافي,مجلة المستنصرية للدراسات العربية والدولية,2013,0,10.35155/0965-000-041-008,https://doi.org/10.35155/0965-000-041-008,,,,
100,1,ا. علي,"الفراغ التشريعي في تنظيم استعمال المياه وترشيد استهلاكها في العراق:, دراسة مقارنة",مجلة الكوفة للعلوم القانونية والسياسية,2020,0,10.36323/0964-013-044-005,https://doi.org/10.36323/0964-013-044-005,,,,
100,1,ف. نافع,"آثار شحة المياه في نهر الفرات على الانتاج الزراعي في العراق :, محافظة الأنبار انموذجا",مجلة المستنصرية للدراسات العربية والدولية,2013,0,10.35155/0965-000-043-005,https://doi.org/10.35155/0965-000-043-005,,,,
100,1,ف. نافع,اثار شحة المياه في نهر الفرات على الانتاج الزراعي في العراق : محافظة الانبار انموذجا,مجلة المستنصرية للدراسات العربية والدولية,2010,0,10.35155/0965-000-031-005,https://doi.org/10.35155/0965-000-031-005,,,,
100,1,R. Torres,طبيعة الوظائف المتغيرة والشؤون الاجتماعية في العالم لمحة عامة عن العمالة : 2015,World Employment and Social Outlook,2015,0,10.1002/wow3.67,https://doi.org/10.1002/wow3.67,,,,
